facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url,phone_clean
SOLID START ACADEMY,SOLID START ACADEMY LLC,8964 NORTH MAGNOLIA AVENUE,SANTEE,92071,SAN DIEGO,9,LICENSED,12/29/2022,,,(619) 850-1568,5,https://www.google.com/maps/search/8964%20NORTH%20MAGNOLIA%20AVENUE%2C%20SANTEE%2C%20CA,6198501568
"GASTELUM, LAURA FAMILY CHILD CARE","GASTELUM, LAURA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,4/19/2023,11/13/2023,6.9,(619) 862-9166,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6198629166
"GASTELUM, LAURA FAMILY CHILD CARE","GASTELUM, LAURA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,2/24/2021,4/19/2023,26.1,(619) 862-9166,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6198629166
MEDINA LEARNING CENTER LLC,MEDINA LEARNING CENTER LLC,6066 1/2 UNIVERSITY AVENUE,SAN DIEGO,92115,SAN DIEGO,15,CLOSED,,11/18/2020,,(619) 906-4177,5,https://www.google.com/maps/search/6066%201/2%20UNIVERSITY%20AVENUE%2C%20SAN%20DIEGO%2C%20CA,6199064177
MEDINA LEARNING CENTER LLC,"MEDINA LEARNING CENTER, LLC.",6066 1/2 UNIVERSITY AVENUE,SAN DIEGO,92115,SAN DIEGO,15,LICENSED,11/15/2021,,,(619) 906-4177,5,https://www.google.com/maps/search/6066%201/2%20UNIVERSITY%20AVENUE%2C%20SAN%20DIEGO%2C%20CA,6199064177
"NOORI, SHAFIQA FAMILY CHILD CARE","NOORI, SHAFIQA",Unavailable,EL CAJON,92020,SAN DIEGO,14,CLOSED,11/16/2021,9/1/2023,21.8,(619) 966-8818,9,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA,6199668818
"NOORI, SHAFIQA FAMILY CHILD CARE","NOORI, SHAFIQA",Unavailable,EL CAJON,92020,SAN DIEGO,14,CLOSED,9/1/2023,7/11/2024,10.5,(619) 966-8818,7,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA,6199668818
HAPPY CAMPERS LEARNING CENTER,HAPPYCAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,84,CLOSED,7/5/1995,8/17/2021,318.0,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA,6263377254
HAPPY CAMPERS LEARNING CENTER,HAPPY CAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,24,CLOSED,8/30/1995,8/17/2021,316.1,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA,6263377254
HAPPYCAMPERS LEARNING CENTER,HAPPYCAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,35,CLOSED,7/5/1995,8/17/2021,318.0,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA,6263377254
EVERGREEN MONTESSORI ACADEMY,AKO CORP,2038 EAST FOOTHILL BLVD,PASADENA,91107,LOS ANGELES,52,CLOSED,6/8/2023,7/29/2024,13.9,(626) 460-0468,7,https://www.google.com/maps/search/2038%20EAST%20FOOTHILL%20BLVD%2C%20PASADENA%2C%20CA,6264600468
"EVERGREEN MONTESSORI ACADEMY, LLC","EVERGREEN MONTESSORI ACADEMY, LLC",2038 E. FOOTHILL BLVD,PASADENA,91107,LOS ANGELES,52,CLOSED,5/26/2021,6/7/2023,24.7,(626) 460-0468,6,https://www.google.com/maps/search/2038%20E.%20FOOTHILL%20BLVD%2C%20PASADENA%2C%20CA,6264600468
"ATLANOVA, ALEXANDRA","ATLANOVA, ALEXANDRA",Unavailable,FOSTER CITY,94404,SAN MATEO,14,CLOSED,1/30/2024,4/16/2025,14.7,(646) 258-1158,7,https://www.google.com/maps/search/Unavailable%2C%20FOSTER%20CITY%2C%20CA,6462581158
"ZAGRAI, TATIANA & ATLANOVA, ALEXANDRA","ZAGRAI, TATIANA & ATLANOVA, ALEXANDRA",Unavailable,FOSTER CITY,94404,SAN MATEO,14,CLOSED,8/7/2020,1/30/2024,42.4,(646) 258-1158,6,https://www.google.com/maps/search/Unavailable%2C%20FOSTER%20CITY%2C%20CA,6462581158
"HUNG, HUI LIN","HUNG, HUI LIN",Unavailable,SAN MATEO,94403,SAN MATEO,14,CLOSED,6/24/2021,4/28/2023,22.4,(650) 208-1063,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA,6502081063
"HUNG, HUI LIN","HUNG, HUI LIN",Unavailable,SAN MATEO,94403,SAN MATEO,14,CLOSED,4/28/2023,4/29/2024,12.2,(650) 208-1063,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA,6502081063
"KUO, WAN YU","KUO, WAN YU",Unavailable,SAN MATEO,94401,SAN MATEO,14,CLOSED,3/28/2019,8/25/2020,17.2,(650) 380-8555,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA,6503808555
"KUO, WAN YU","KUO, WAN YU",Unavailable,SAN MATEO,94403,SAN MATEO,14,CLOSED,8/25/2020,1/10/2025,53.3,(650) 380-8555,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA,6503808555
RIGHT AT SCHOOL AT CRITTENDEN MIDDLE,"RIGHT AT SCHOOL, LLC.",1701 ROCK STREET,MOUNTAIN VIEW,94043,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/1701%20ROCK%20STREET%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT EDITH LANDELS,"RIGHT AT SCHOOL, LLC.",115 W. DANA STREET,MOUNTAIN VIEW,94041,SANTA CLARA,113,CLOSED,8/8/2019,4/1/2021,20.1,(650) 407-0531,7,https://www.google.com/maps/search/115%20W.%20DANA%20STREET%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT EL CARMELO ELEMENTARY,"RIGHT AT SCHOOL, LLC",3024 BRYANT STREET,PALO ALTO,94306,SANTA CLARA,120,CLOSED,10/20/2020,4/1/2021,5.4,(650) 407-0531,9,https://www.google.com/maps/search/3024%20BRYANT%20STREET%2C%20PALO%20ALTO%2C%20CA,6504070531
RIGHT AT SCHOOL AT FAIRMEADOW ELEMENTARY,"RIGHT AT SCHOOL, LLC",500 E. MEADOW DRIVE,PALO ALTO,94306,SANTA CLARA,120,CLOSED,10/20/2020,4/1/2021,5.4,(650) 407-0531,9,https://www.google.com/maps/search/500%20E.%20MEADOW%20DRIVE%2C%20PALO%20ALTO%2C%20CA,6504070531
RIGHT AT SCHOOL AT FRANK HUFF,"RIGHT AT SCHOOL, LLC.",253 MARTENS AVENUE,MOUNTAIN VIEW,94040,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/253%20MARTENS%20AVENUE%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT GABRIELA MISTRAL,"RIGHT AT SCHOOL, LLC",505 ESCULA AVENUE,MOUNTAIN VIEW,94041,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/505%20ESCULA%20AVENUE%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT GRAHAM MIDDLE,"RIGHT AT SCHOOL, LLC.",1175 CASTRO STREET,MOUNTAIN VIEW,94040,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/1175%20CASTRO%20STREET%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT JOSE VARGAS,"RIGHT AT SCHOOL, LLC.",220 N. WHISMAN ROAD,MOUNTAIN VIEW,94043,SANTA CLARA,120,CLOSED,9/9/2019,4/1/2021,19.0,(650) 407-0531,7,https://www.google.com/maps/search/220%20N.%20WHISMAN%20ROAD%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT MONTA LOMA,"RIGHT AT SCHOOL, LLC",460 THOMPSON AVENUE,MOUNTAIN VIEW,94043,SANTA CLARA,115,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/460%20THOMPSON%20AVENUE%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT STEVENSON,"RIGHT AT SCHOOL, LLC.",750 SAN PIERRE WAY,MOUNTAIN VIEW,94043,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/750%20SAN%20PIERRE%20WAY%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
RIGHT AT SCHOOL AT THEUERKAUF,"RIGHT AT SCHOOL, LLC",1625 SAN LUIS AVENUE,MOUNTAIN VIEW,94043,SANTA CLARA,105,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/1625%20SAN%20LUIS%20AVENUE%2C%20MOUNTAIN%20VIEW%2C%20CA,6504070531
BAMBINI & STERLING MONTESSORI,KAP ACHIEVERS LLC,1170 EAST JOINER PARKWAY,LINCOLN,95648,PLACER,12,CLOSED,12/6/2023,7/22/2024,7.6,(650) 430-2037,7,https://www.google.com/maps/search/1170%20EAST%20JOINER%20PARKWAY%2C%20LINCOLN%2C%20CA,6504302037
BAMBINI & STERLING MONTESSORI,KAP ACHIEVERS LLC,1170 EAST JOINER PARKWAY,LINCOLN,95648,PLACER,27,CLOSED,8/4/2023,7/22/2024,11.8,(650) 430-2037,7,https://www.google.com/maps/search/1170%20EAST%20JOINER%20PARKWAY%2C%20LINCOLN%2C%20CA,6504302037
BUILDING KIDZ OF REDWOOD CITY ROOSEVELT AVE.,BUILDING KIDZ FAMILY LLC,909 ROOSEVELT AVE.,REDWOOD CITY,94061,SAN MATEO,34,LICENSED,1/12/2021,,,(650) 482-2407,5,https://www.google.com/maps/search/909%20ROOSEVELT%20AVE.%2C%20REDWOOD%20CITY%2C%20CA,6504822407
BUILDING KIDZ OF REDWOOD CITY ROOSEVELT AVE.,"BUILDING KIDZ FAMILY, LLC",907 ROOSEVELT AVENUE,REDWOOD CITY,94061,SAN MATEO,106,LICENSED,1/12/2021,,,(650) 482-2407,5,https://www.google.com/maps/search/907%20ROOSEVELT%20AVENUE%2C%20REDWOOD%20CITY%2C%20CA,6504822407
CHALLENGE SCHOOL (PS) FC CAMPUS,CHALLENGE SCHOOL,1130 BALCLUTHA DRIVE,FOSTER CITY,94404,SAN MATEO,24,CLOSED,11/17/2023,4/18/2024,5.1,(650) 574-6878,7,https://www.google.com/maps/search/1130%20BALCLUTHA%20DRIVE%2C%20FOSTER%20CITY%2C%20CA,6505746878
CHALLENGE SCHOOL FC CAMPUS,CHALLENGE SCHOOL,1130 BALCLUTHA DRIVE,FOSTER CITY,94404,SAN MATEO,5,CLOSED,11/17/2023,4/18/2024,5.1,(650) 574-6878,7,https://www.google.com/maps/search/1130%20BALCLUTHA%20DRIVE%2C%20FOSTER%20CITY%2C%20CA,6505746878
HAPPY HALL SCHOOL,HAPPY HALL SCHOOL,817 MURCHISON DRIVE,MILLBRAE,94030,SAN MATEO,30,INACTIVE,11/1/2020,,,(650) 697-4760,6,https://www.google.com/maps/search/817%20MURCHISON%20DRIVE%2C%20MILLBRAE%2C%20CA,6506974760
HAPPY HALL SCHOOL,HAPPY HALL SCHOOL,817 MURCHISON DRIVE,MILLBRAE,94030,SAN MATEO,70,INACTIVE,11/1/2020,,,(650) 697-4760,6,https://www.google.com/maps/search/817%20MURCHISON%20DRIVE%2C%20MILLBRAE%2C%20CA,6506974760
STANFORD WEST CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",625 CLARK WAY,PALO ALTO,94304,SANTA CLARA,90,LICENSED,8/6/2021,,,(650) 723-8700,5,https://www.google.com/maps/search/625%20CLARK%20WAY%2C%20PALO%20ALTO%2C%20CA,6507238700
STANFORD WEST CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,625 CLARK WAY,PALO ALTO,94304,SANTA CLARA,24,LICENSED,8/6/2021,,,(650) 723-8700,5,https://www.google.com/maps/search/625%20CLARK%20WAY%2C%20PALO%20ALTO%2C%20CA,6507238700
UNIQUE 2THE PEAK CHILDREN'S ACADEMY,"MEZA, REBECCA",1309 SOUTH BROOKHURST STREET,ANAHEIM,92804,ORANGE,23,CLOSED,8/5/2021,12/23/2024,41.2,(657) 220-4206,6,https://www.google.com/maps/search/1309%20SOUTH%20BROOKHURST%20STREET%2C%20ANAHEIM%2C%20CA,6572204206
UNIQUE 2THE PEAK CHILDREN'S ACADEMY,"MEZA, REBECCA",1309 SOUTH BROOKHURST STREET,ANAHEIM,92804,ORANGE,18,CLOSED,8/5/2021,12/23/2024,41.2,(657) 220-4206,6,https://www.google.com/maps/search/1309%20SOUTH%20BROOKHURST%20STREET%2C%20ANAHEIM%2C%20CA,6572204206
WANNA PLAY PLAYCARE,K&M CORPORATION,"26837 BOUQUET CANYON RD,",SANTA CLARITA,91350,LOS ANGELES,7,CLOSED,5/7/2021,1/26/2024,33.1,(661) 501-2301,7,https://www.google.com/maps/search/26837%20BOUQUET%20CANYON%20RD%2C%2C%20SANTA%20CLARITA%2C%20CA,6615012301
WANNA PLAY PLAYCARE,K&M PLAY CORPORATION,26837 BOUQUET CANYON RD,SANTA CLARITA,91350,LOS ANGELES,7,CLOSED,5/7/2021,1/26/2024,33.1,(661) 501-2301,7,https://www.google.com/maps/search/26837%20BOUQUET%20CANYON%20RD%2C%20SANTA%20CLARITA%2C%20CA,6615012301
WANNA PLAY PLAYCARE,K & M CORPORATION,26837 BOUQUET CANYON,SANTA CLARITA,91350,LOS ANGELES,26,CLOSED,5/7/2021,1/26/2024,33.1,(661) 501-2301,7,https://www.google.com/maps/search/26837%20BOUQUET%20CANYON%2C%20SANTA%20CLARITA%2C%20CA,6615012301
PURE & SIMPLE ACADEMY & CHILD CARE CENTER,"AGUIRRE, SANDRA LONA & EDWARD ANTHONY",43301 DIVISION ST SUITE 101,LANCASTER,93535,LOS ANGELES,58,CLOSED,3/16/2020,5/9/2022,26.1,(661) 524-1042,6,https://www.google.com/maps/search/43301%20DIVISION%20ST%20SUITE%20101%2C%20LANCASTER%2C%20CA,6615241042
PURE & SIMPLE ACADEMY & CHILD CARE CENTER,"AGUIRRE, SANDRA LONA & EDWARD ANTHONY",43301 DIVISION ST SUITE 101,LANCASTER,93535,LOS ANGELES,97,CLOSED,3/15/2020,5/9/2022,26.2,(661) 524-1042,6,https://www.google.com/maps/search/43301%20DIVISION%20ST%20SUITE%20101%2C%20LANCASTER%2C%20CA,6615241042
PURE & SIMPLE ACADEMY & CHILD CARE CENTER,"AGUIRRE, SANDRA LONA & EDWARD ANTHONY",43301 DIVISION ST SUITE 101,LANCASTER,93535,LOS ANGELES,30,CLOSED,3/15/2020,5/9/2022,26.2,(661) 524-1042,6,https://www.google.com/maps/search/43301%20DIVISION%20ST%20SUITE%20101%2C%20LANCASTER%2C%20CA,6615241042
BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,608 KENTUCKY,BAKERSFIELD,93305,KERN,11,CLOSED,9/17/2020,8/31/2022,23.8,(661) 631-5555,10,https://www.google.com/maps/search/608%20KENTUCKY%2C%20BAKERSFIELD%2C%20CA,6616315555
BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,608 KENTUCKY,BAKERSFIELD,93305,KERN,9,CLOSED,9/17/2020,8/31/2022,23.8,(661) 631-5555,10,https://www.google.com/maps/search/608%20KENTUCKY%2C%20BAKERSFIELD%2C%20CA,6616315555
BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,608 KENTUCKY,BAKERSFIELD,93305,KERN,32,CLOSED,2/27/2013,8/31/2022,115.7,(661) 631-5555,5,https://www.google.com/maps/search/608%20KENTUCKY%2C%20BAKERSFIELD%2C%20CA,6616315555
AGAPE PLAYSKOOL,"AGAPE LEARNING CENTER, LLC",181 EAST TASMAN DRIVE #70,SAN JOSE,95134,SANTA CLARA,45,CLOSED,4/18/2022,5/13/2023,13.0,(669) 295-8697,8,https://www.google.com/maps/search/181%20EAST%20TASMAN%20DRIVE%20%2370%2C%20SAN%20JOSE%2C%20CA,6692958697
AGAPE PLAYSKOOL,"AGAPE LEARNING CENTER, LLC","3700 THOMAS ROAD, SUITE 107",SANTA CLARA,95054,SANTA CLARA,24,CLOSED,6/5/2023,9/30/2024,16.1,(669) 295-8697,6,https://www.google.com/maps/search/3700%20THOMAS%20ROAD%2C%20SUITE%20107%2C%20SANTA%20CLARA%2C%20CA,6692958697
TULIP KIDS,"TULIP KIDS, INC.",10181 FINCH AVENUE,CUPERTINO,95014,SANTA CLARA,15,CLOSED,3/1/2021,8/16/2024,42.1,(669) 377-5774,6,https://www.google.com/maps/search/10181%20FINCH%20AVENUE%2C%20CUPERTINO%2C%20CA,6693775774
TULIP KIDS,TULIP KIDS INC.,10181 FINCH AVENUE,CUPERTINO,95014,SANTA CLARA,67,CLOSED,2/18/2020,8/16/2024,54.7,(669) 377-5774,6,https://www.google.com/maps/search/10181%20FINCH%20AVENUE%2C%20CUPERTINO%2C%20CA,6693775774
LITTLE SUNSHINE LEARNING CENTER,"WHITESIDE, JULIETA",15 WOODLAND DRIVE,ST HELENA,94574,NAPA,12,CLOSED,12/28/2020,6/13/2022,17.7,(702) 786-2237,9,https://www.google.com/maps/search/15%20WOODLAND%20DRIVE%2C%20ST%20HELENA%2C%20CA,7027862237
LITTLE SUNSHINE LEARNING CENTER-INFANT,LITTLE SUNSHINE LEARNING CENTER LLC,15 WOODLAND ROAD,ST. HELENA,94574,NAPA,4,CLOSED,3/26/2021,7/13/2022,15.8,(702) 786-2237,10,https://www.google.com/maps/search/15%20WOODLAND%20ROAD%2C%20ST.%20HELENA%2C%20CA,7027862237
"WHITE, CHARLOTTE FAMILY CHILD CARE HOME","WHITE, CHARLOTTE",Unavailable,VACAVILLE,95688,SOLANO,14,CLOSED,5/31/2022,6/19/2023,12.8,(707) 290-6874,7,https://www.google.com/maps/search/Unavailable%2C%20VACAVILLE%2C%20CA,7072906874
"WHITE, CHARLOTTE FAMILY CHILD CARE HOME","WHITE, CHARLOTTE",Unavailable,DIXON,95620,SOLANO,14,CLOSED,6/19/2023,3/27/2025,21.6,(707) 290-6874,5,https://www.google.com/maps/search/Unavailable%2C%20DIXON%2C%20CA,7072906874
"WICHLAZ, HEATHER FCCH","WICHLAZ, HEATHER",Unavailable,LAKEPORT,95453,LAKE,14,CLOSED,4/24/2024,4/1/2025,11.4,(707) 349-8981,7,https://www.google.com/maps/search/Unavailable%2C%20LAKEPORT%2C%20CA,7073498981
"WICHLAZ, HEATHER FCCH",HEATHER WICHLAZ,Unavailable,KELSEVILLE,95451,LAKE,14,CLOSED,2/11/2022,4/24/2024,26.8,(707) 349-8981,6,https://www.google.com/maps/search/Unavailable%2C%20KELSEVILLE%2C%20CA,7073498981
REDWOOD DISCOVERY MUSEUM PRESCHOOL,REDWOOD DISCOVERY MUSEUM,"612 G STREET, SUITE 102",EUREKA,95501,HUMBOLDT,12,CLOSED,12/10/2020,12/20/2021,12.5,(707) 443-9694,7,https://www.google.com/maps/search/612%20G%20STREET%2C%20SUITE%20102%2C%20EUREKA%2C%20CA,7074439694
REDWOOD DISCOVERY MUSEUM SCHOOL-AGE,REDWOOD DISCOVERY MUSEUM,612 G STREET,EUREKA,95501,HUMBOLDT,15,CLOSED,12/10/2020,12/20/2021,12.5,(707) 443-9694,7,https://www.google.com/maps/search/612%20G%20STREET%2C%20EUREKA%2C%20CA,7074439694
"LEARNING EXPERIENCE-INFANT, THE","TLE AT ROHNERT PARK, LLC",6150 COMMERCE BLVD,ROHNERT PARK,94928,SONOMA,20,CLOSED,10/5/2020,5/1/2024,43.5,(707) 585-5990,6,https://www.google.com/maps/search/6150%20COMMERCE%20BLVD%2C%20ROHNERT%20PARK%2C%20CA,7075855990
"LEARNING EXPERIENCE-P/S, THE","TLE AT ROHNERT PARK, LLC",6150 COMMERCE BLVD,ROHNERT PARK,94928,SONOMA,144,CLOSED,10/5/2020,5/1/2024,43.5,(707) 585-5990,6,https://www.google.com/maps/search/6150%20COMMERCE%20BLVD%2C%20ROHNERT%20PARK%2C%20CA,7075855990
"LEARNING EXPERIENCE-S/A, THE","TLE AT ROHNERT PARK, LLC",6150 COMMERCE BLVD,ROHNERT PARK,94928,SONOMA,15,CLOSED,10/5/2020,10/27/2022,25.1,(707) 585-5990,6,https://www.google.com/maps/search/6150%20COMMERCE%20BLVD%2C%20ROHNERT%20PARK%2C%20CA,7075855990
YWCA STARS INFANT-GUERNEWOOD,YWCA OF SONOMA COUNTY,17130 HWY. 116,GUERNEVILLE,95446,SONOMA,10,CLOSED,7/1/2022,5/12/2023,10.5,(707) 604-7652,7,https://www.google.com/maps/search/17130%20HWY.%20116%2C%20GUERNEVILLE%2C%20CA,7076047652
YWCA STARS PRESCHOOL-GUERNEWOOD,YWCA OF SONOMA COUNTY,17120 HIGHWAY 116,GUERNEVILLE,95446,SONOMA,17,CLOSED,7/1/2022,5/12/2023,10.5,(707) 604-7652,7,https://www.google.com/maps/search/17120%20HIGHWAY%20116%2C%20GUERNEVILLE%2C%20CA,7076047652
CIRCLE OF FRIENDS CHILD DEVELOPMENT CENTER,"CIRCLE OF FRIENDS CHILD DEVELOPMENT CENTER, LLC",3045 ROCKVILLE ROAD,FAIRFIELD,94534,SOLANO,22,LICENSED,10/4/2021,,,(707) 639-9621,5,https://www.google.com/maps/search/3045%20ROCKVILLE%20ROAD%2C%20FAIRFIELD%2C%20CA,7076399621
CIRCLE OF FRIENDS CHILD DEVELOPMENT CENTER,"CIRCLE OF FRIENDS CHILD DEVELOPMENT CENTER, LLC",3045 ROCKVILLE ROAD,FAIRFIELD,94534,SOLANO,99,LICENSED,10/4/2021,,,(707) 639-9621,5,https://www.google.com/maps/search/3045%20ROCKVILLE%20ROAD%2C%20FAIRFIELD%2C%20CA,7076399621
"LEARNING TREE PRESCHOOL, THE","WILSON, DOUGLAS",3045 ROCKVILLE ROAD,FAIRFIELD,94534,SOLANO,90,CLOSED,12/11/2020,10/4/2021,9.9,(707) 639-9621,9,https://www.google.com/maps/search/3045%20ROCKVILLE%20ROAD%2C%20FAIRFIELD%2C%20CA,7076399621
"LEARNING TREE PRESCHOOL, THE","WILSON, DOUGLAS",3045 ROCKVILLE ROAD,FAIRFIELD,94534,SOLANO,30,CLOSED,12/11/2020,10/4/2021,9.9,(707) 639-9621,9,https://www.google.com/maps/search/3045%20ROCKVILLE%20ROAD%2C%20FAIRFIELD%2C%20CA,7076399621
"EL, SHELDON FCCH","EL, SHELDON",Unavailable,SANTA ROSA,95404,SONOMA,14,CLOSED,5/3/2021,8/14/2023,27.8,(707) 708-8676,6,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20ROSA%2C%20CA,7077088676
MELBROOKS SCHOOL,SHELDON EL,3535 INDUSTRIAL DRIVE B4,SANTA ROSA,95403,SONOMA,30,CLOSED,3/17/2021,4/29/2022,13.6,(707) 708-8676,9,https://www.google.com/maps/search/3535%20INDUSTRIAL%20DRIVE%20B4%2C%20SANTA%20ROSA%2C%20CA,7077088676
YWCA PRESCHOOL-GUERNEVILLE,YWCA OF SONOMA COUNTY,14630 ARMSTRONG WOODS RD.,GUERNEVILLE,95446,SONOMA,24,CLOSED,7/1/2022,3/21/2025,33.1,(707) 869-8106,6,https://www.google.com/maps/search/14630%20ARMSTRONG%20WOODS%20RD.%2C%20GUERNEVILLE%2C%20CA,7078698106
YWCA STARS PRESCHOOL-MONTE RIO,YWCA OF SONOMA COUNTY,20700 FOOTHILL DRIVE,MONTE RIO,95462,SONOMA,15,CLOSED,7/1/2022,6/13/2024,23.8,(707) 869-8106,9,https://www.google.com/maps/search/20700%20FOOTHILL%20DRIVE%2C%20MONTE%20RIO%2C%20CA,7078698106
CLOVERDALE EAGLETS PRESCHOOL & DAYCARE CENTER-INF,"BOEHM, JEANETTE",530 NORTH CLOVERDALE BLVD,CLOVERDALE,95425,SONOMA,6,CLOSED,10/20/2020,10/1/2021,11.5,(707) 894-6037,9,https://www.google.com/maps/search/530%20NORTH%20CLOVERDALE%20BLVD%2C%20CLOVERDALE%2C%20CA,7078946037
CLOVERDALE EAGLETS PRESCHOOL & DAYCARE CENTER-S/A,"BOEHM, JEANETTE",530 NORTH CLOVERDALE BLVD,CLOVERDALE,95425,SONOMA,9,CLOSED,10/20/2020,10/2/2024,48.1,(707) 894-6037,6,https://www.google.com/maps/search/530%20NORTH%20CLOVERDALE%20BLVD%2C%20CLOVERDALE%2C%20CA,7078946037
KONOCTI USD CHILD DEVELOPMENT CENTER P/S,KONOCTI UNIFIED SCHOOL DISTRICT,9345 WINCHESTER STREET,LOWER LAKE,95457,LAKE,10,CLOSED,5/11/2023,8/4/2023,2.8,(707) 994-6475,7,https://www.google.com/maps/search/9345%20WINCHESTER%20STREET%2C%20LOWER%20LAKE%2C%20CA,7079946475
KONOCTI USD CHILD DEVELOPMENT CENTER-INFANT,KONOCTI UNIFIED SCHOOL DISTRICT,9345 WINCHESTER STREET,LOWER LAKE,95457,LAKE,8,CLOSED,5/11/2023,8/4/2023,2.8,(707) 994-6475,7,https://www.google.com/maps/search/9345%20WINCHESTER%20STREET%2C%20LOWER%20LAKE%2C%20CA,7079946475
