facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,license_date,license_year,months_open
FAMILY DAY CARE HOME,343624184,"SHAMAL, MURSAL","SHAMAL, MURSAL","SHAMAL, MURSAL",(916) 664-8834,Unavailable,SACRAMENTO,CA,95823,SACRAMENTO,3,14,CLOSED,5/26/2022,2022-06-01,5252025,2022-05-26,2022.0,0.2
FAMILY DAY CARE HOME,304314489,"SHIM, JUYEON","SHIM, JUYEON","SHIM, JUYEON",(949) 761-0063,Unavailable,IRVINE,CA,92602,ORANGE,6,14,CLOSED,1/15/2025,2025-01-29,5252025,2025-01-15,2025.0,0.5
FAMILY DAY CARE HOME,344501214,"ESMAIL, HALLA",HALLA ESMAIL,"ESMAIL, HALLA",(408) 606-1742,Unavailable,ELK GROVE,CA,95758,SACRAMENTO,53,14,CLOSED,9/18/2024,2024-10-10,5252025,2024-09-18,2024.0,0.7
SCHOOL AGE DAY CARE CENTER,73409579,PANTHER HOUSE,"DAMHESEL, NICOLE, AGUIAR, HEATHER & LYNN, ASHLEY",NICOLE DAMHESEL,(925) 297-9750,3445 HAMLIN RD,LAFAYETTE,CA,94549,CONTRA COSTA,2,56,CLOSED,8/22/2023,2023-10-05,5252025,2023-08-22,2023.0,1.5
DAY CARE CENTER,444417082,DISCOVERY PRESCHOOL AND FAMILY CENTER,DISCOVERY PRESCHOOL AND FAMILY CENTER,SARA BALLA,(831) 588-4225,440 FREDRICK STREET,SANTA CRUZ,CA,95060,SANTA CRUZ,7,40,CLOSED,1/20/2023,2023-03-05,5252025,2023-01-20,2023.0,1.5
SINGLE LICENSED CHILD CARE CENTER,75700616,GUIDEPOST MONTESSORI AT CROW CANYON,GUIDEPOST A LLC,KAYLA HACKETT,(925) 905-1616,2671 CROW CANYON RD,SAN RAMON,CA,94583,CONTRA COSTA,52,150,CLOSED,11/4/2024,2024-12-20,5252025,2024-11-04,2024.0,1.5
FAMILY DAY CARE HOME,304313793,"RODRIGUEZ, AURI","RODRIGUEZ, AURI","RODRIGUEZ, AURI",(949) 337-8176,Unavailable,IRVINE,CA,92620,ORANGE,6,14,CLOSED,7/24/2020,2020-09-17,5252025,2020-07-24,2020.0,1.8
FAMILY DAY CARE HOME,304314435,"AGUIRRE, TRISHA","AGUIRRE, TRISHA","AGUIRRE, TRISHA",(949) 632-2400,Unavailable,LAKE FOREST,CA,92630,ORANGE,6,14,CLOSED,10/9/2024,2024-12-04,5252025,2024-10-09,2024.0,1.9
SINGLE LICENSED CHILD CARE CENTER,73409606,"LEARN AND PLAY MORAGA, INC","LEARN AND PLAY MORAGA, INC.",EVELYN RODRIGUEZ,(925) 376-8280,1695 CANYON ROAD,MORAGA,CA,94556,CONTRA COSTA,2,135,CLOSED,10/30/2024,2025-01-02,5252025,2024-10-30,2024.0,2.1
SINGLE LICENSED CHILD CARE CENTER,157750010,IMAGINATION SPRINGS,MICHELLE RINCON STORY,MICHELLE RINCON STORY,(619) 646-0926,27719 STALLION SPRINGS DRIVE,TEHACHAPI,CA,93561,KERN,12,18,CLOSED,3/7/2024,2024-05-09,5252025,2024-03-07,2024.0,2.1
FAMILY DAY CARE HOME,426216659,BUENROSTRO FAMILY CHILD CARE,AMALIA BUENROSTRO,AMALIA BUENROSTRO,(928) 710-0767,Unavailable,SANTA MARIA,CA,93454,SANTA BARBARA,17,14,CLOSED,8/10/2023,2023-10-18,5252025,2023-08-10,2023.0,2.3
SCHOOL AGE DAY CARE CENTER,434416694,NEIGHBORHOOD CHRISTIAN PRESCHOOL,AGAPE SCHOOLS,JULIE KENNEDY,(408) 286-0901,1670 MOORPARK AVENUE,SAN JOSE,CA,95128,SANTA CLARA,7,18,CLOSED,9/28/2020,2020-12-09,5252025,2020-09-28,2020.0,2.4
FAMILY DAY CARE HOME,304313762,"ORTIZ-WITBRACHT, VANESSA","ORTIZ-WITBRACHT, VANESSA","ORTIZ-WITBRACHT, VANESSA",(949) 689-5195,Unavailable,LAKE FOREST,CA,92630,ORANGE,6,14,CLOSED,5/11/2020,2020-08-01,5252025,2020-05-11,2020.0,2.7
INFANT CENTER,173010409,KONOCTI USD CHILD DEVELOPMENT CENTER-INFANT,KONOCTI UNIFIED SCHOOL DISTRICT,ANGEL COPPA,(707) 994-6475,9345 WINCHESTER STREET,LOWER LAKE,CA,95457,LAKE,1,8,CLOSED,5/11/2023,2023-08-04,5252025,2023-05-11,2023.0,2.8
FAMILY DAY CARE HOME,394501290,"CHERRY, STEPHANIE","CHERRY, STEPHANIE","CHERRY, STEPHANIE",(209) 938-7203,Unavailable,STOCKTON,CA,95212,SAN JOAQUIN,53,14,CLOSED,12/4/2024,2025-02-26,5252025,2024-12-04,2024.0,2.8
DAY CARE CENTER,173010408,KONOCTI USD CHILD DEVELOPMENT CENTER P/S,KONOCTI UNIFIED SCHOOL DISTRICT,ANGEL COPPA,(707) 994-6475,9345 WINCHESTER STREET,LOWER LAKE,CA,95457,LAKE,1,10,CLOSED,5/11/2023,2023-08-04,5252025,2023-05-11,2023.0,2.8
FAMILY DAY CARE HOME,283009914,"MCINTOSH, MYRIAN FCCH","MCINTOSH, MYRIAN","MCINTOSH, MYRIAN",(707) 645-1680,Unavailable,AMERICAN CANYON,CA,94503,NAPA,1,14,CLOSED,9/14/2020,2020-12-09,5252025,2020-09-14,2020.0,2.9
FAMILY DAY CARE HOME,444416692,"HERRERA, CYNTHIA","HERRERA, CYNTHIA",CYNTHIA HERRERA,(831) 535-2742,Unavailable,WATSONVILLE,CA,95076,SANTA CRUZ,7,14,CLOSED,11/4/2020,2021-01-31,5252025,2020-11-04,2020.0,2.9
FAMILY DAY CARE HOME,73409327,"WAGNER, ANNA","WAGNER, ANNA","WAGNER, ANNA",(510) 332-4538,Unavailable,RICHMOND,CA,94804,CONTRA COSTA,2,14,CLOSED,10/25/2022,2023-02-08,5252025,2022-10-25,2022.0,3.5
SCHOOL AGE DAY CARE CENTER,435700729,RIGHT AT SCHOOL AT ADDISON ELEMENTARY,"RIGHT AT SCHOOL, LLC","MANJUNATHA, YAMUNA",(650) 304-4963,650 ADDISON AVENUE,PALO ALTO,CA,94301,SANTA CLARA,52,120,CLOSED,12/18/2020,2021-04-01,5252025,2020-12-18,2020.0,3.5
SCHOOL AGE DAY CARE CENTER,364845935,KIDDIE ACADEMY,FRANK & LIN EDUCATIONAL,PAMELA FOX,(909) 529-6661,15861 POMONA RINCON RD,CHINO HILLS,CA,91709,SAN BERNARDINO,9,24,CLOSED,12/9/2020,2021-03-23,5252025,2020-12-09,2020.0,3.5
SCHOOL AGE DAY CARE CENTER,376300878,CHILDREN'S CHOICE ACADEMY - VISTA,"CHILDREN'S CHOICE ACADEMY, INC",JENNI GRAWVUNDER,(619) 249-4328,739 OLICE AVE,VISTA,CA,92083,SAN DIEGO,10,14,CLOSED,10/26/2023,2024-02-09,5252025,2023-10-26,2023.0,3.5
SINGLE LICENSED CHILD CARE CENTER,15700656,CAPE JOE MICHELL CENTER,"CAPE, INC.",HANEEN ASAD,(925) 337-1226,1001 ELAINE AVE,LIVERMORE,CA,94550,ALAMEDA,52,20,CLOSED,7/25/2024,2024-11-13,5252025,2024-07-25,2024.0,3.7
FAMILY DAY CARE HOME,376300384,SALON FAMILY CHILD CARE,"SALON,TOMIKO","SALON,TOMIKO",(760) 505-1803,Unavailable,VISTA,CA,92081,SAN DIEGO,10,14,CLOSED,9/10/2021,2021-12-31,5252025,2021-09-10,2021.0,3.7
SCHOOL AGE DAY CARE CENTER,434417121,ALLSTARS STEM ACADEMY OF EVERGREEN,ALLSTARS UNITED EDUCATION FOUNDATION,MADAN BELLAM,(408) 406-3728,2650 ABORN ROAD,SAN JOSE,CA,95121,SANTA CLARA,7,30,CLOSED,9/12/2023,2024-01-01,5252025,2023-09-12,2023.0,3.7
SCHOOL AGE DAY CARE CENTER,435700733,RIGHT AT SCHOOL AT PALO VERDE ELEMENTARY,"RIGHT AT SCHOOL, LLC","NATIVIDAD, GERRANY",(650) 288-7567,3450 LOUIS ROAD,PALO ALTO,CA,94303,SANTA CLARA,52,120,CLOSED,12/2/2020,2021-04-01,5252025,2020-12-02,2020.0,4.0
SCHOOL AGE DAY CARE CENTER,435700731,RIGHT AT SCHOOL AT DUVENECK ELEMENTARY,"RIGHT AT SCHOOL, LLC","WONG, CRISTINA",(650) 269-4522,705 ALESTER AVENUE,PALO ALTO,CA,94303,SANTA CLARA,52,120,CLOSED,12/2/2020,2021-04-01,5252025,2020-12-02,2020.0,4.0
FAMILY DAY CARE HOME,376629197,"FESTO, CAROLINA & NIYUNGEKO FAMILY CHILD CARE","FESTO, CAROLINA & NIYUNGEKO",CAROLINA & NIYUNGEKO FESTO,(619) 348-4120,Unavailable,SAN DIEGO,CA,92105,SAN DIEGO,20,14,CLOSED,10/4/2021,2022-02-03,5252025,2021-10-04,2021.0,4.1
FAMILY DAY CARE HOME,367700253,MCDOWELL FAMILY CHILD CARE,PATIENCE MCDOWELL,PATIENCE MCDOWELL,(760) 596-7315,Unavailable,JOSHUA TREE,CA,92252,SAN BERNARDINO,12,14,CLOSED,3/7/2022,2022-07-09,5252025,2022-03-07,2022.0,4.1
FAMILY DAY CARE HOME,155620648,"ARGUETA, DEISY FAMILY CHILD CARE","ARGUETA, DEISY","ARGUETA, DEISY",(661) 308-6004,Unavailable,BAKERSFIELD,CA,93308,KERN,57,14,CLOSED,12/9/2024,2025-04-11,5252025,2024-12-09,2024.0,4.1
SINGLE LICENSED CHILD CARE CENTER,376105190,LITTLE PATHFINDERS PRESCHOOL,LITTLE PATHFINDERS PRESCHOOL LLC,SANDRA REYES,(619) 805-7999,217 EARLHAM STREET,RAMONA,CA,92065,SAN DIEGO,51,72,CLOSED,11/21/2024,2025-03-28,5252025,2024-11-21,2024.0,4.2
DAY CARE CENTER,304371426,SUSAN PHILLIPS DAY SCHOOL,SUSAN PHILLIPS DAY SCHOOL A CA NONPROFIT PUBLIC BE,"HERRON, MARTY MITCHELL",(949) 645-1949,2401 IRVINE AVENUE,NEWPORT BEACH,CA,92660,ORANGE,6,19,CLOSED,4/28/2020,2020-09-04,5252025,2020-04-28,2020.0,4.3
DAY CARE CENTER,34500913,MOTHER LODE MOUNTAIN TOTS PRESCHOOL,MOTHER LODE MOUNTAIN TOTS PRESCHOOL LLC,"ALLEN, KIRBIE",(209) 457-0995,23714 STATE HIGHWAY 88,PIONEER,CA,95666,AMADOR,53,45,CLOSED,9/25/2023,2024-01-31,5252025,2023-09-25,2023.0,4.3
FAMILY DAY CARE HOME,334846397,DE SILVA FAMILY CHILD CARE,"DE SILVA, JUANITA","DE SILVA, JUANITA",(714) 204-1339,Unavailable,CORONA,CA,92879,RIVERSIDE,9,14,CLOSED,5/31/2023,2023-10-06,5252025,2023-05-31,2023.0,4.3
SCHOOL AGE DAY CARE CENTER,434417039,TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,ZARNA JOSHI,(408) 779-7678,17535 DEL MONTE AVENUE,MORGAN HILL,CA,95037,SANTA CLARA,7,30,CLOSED,9/15/2022,2023-01-24,5252025,2022-09-15,2022.0,4.4
SCHOOL AGE DAY CARE CENTER,214005669,YMCA SF-MARIN HEARTWOOD CHARTER SCHOOL,YOUNG MEN'S CHRISTIAN ASSOCIATION,"CALAGUI, JEANIE",(415) 446-2120,3125 SIR FRANCIS DRAKE BLVD.,FAIRFAX,CA,94930,MARIN,5,100,CLOSED,1/11/2024,2024-05-23,5252025,2024-01-11,2024.0,4.4
FAMILY DAY CARE HOME,543911396,"OLBERA, VICTORIA FAMILY CHILD CARE","OLBERA, VICTORIA","OLBERA, VICTORIA",(559) 781-8462,Unavailable,PORTERVILLE,CA,93257,TULARE,57,14,CLOSED,11/23/2020,2021-04-05,5252025,2020-11-23,2020.0,4.4
INFANT CENTER,384004625,C5 FOX PLAZA INFANT CENTER,C5 CHILDREN'S SCHOOL,"MCGEE, ASAKO",(415) 340-0421,"1390 MARKET STREET, SUITE 110",SAN FRANCISCO,CA,94102,SAN FRANCISCO,5,12,CLOSED,11/10/2022,2023-03-23,5252025,2022-11-10,2022.0,4.4
DAY CARE CENTER,434417103,LITTLE EINSTEIN'S MONTESSORI PRESCHOOL,LITTLE EINSTEIN'S MONTESSORI PRESCHOOL LLC,AMIE OMAN,(408) 390-5563,2798 SOUTH BASCOM AVENUE,SAN JOSE,CA,95124,SANTA CLARA,7,35,CLOSED,9/11/2023,2024-01-20,5252025,2023-09-11,2023.0,4.4
DAY CARE CENTER,15700552,"GENIUS KIDS, INC.","GENIUS KIDS, INC.","NIJJAR, SHANA",(510) 745-7311,4938 PASEO PADRE PARKWAY,FREMONT,CA,94555,ALAMEDA,52,27,CLOSED,12/13/2021,2022-04-25,5252025,2021-12-13,2021.0,4.4
FAMILY DAY CARE HOME,197495134,HARASIS FAMILY CHILD CARE,RAZIA HARASIS,RAZIA HARASIS,(818) 612-8839,Unavailable,WEST HILLS,CA,91304,LOS ANGELES,58,14,CLOSED,1/5/2023,2023-05-17,5252025,2023-01-05,2023.0,4.4
SCHOOL AGE DAY CARE CENTER,435700736,RIGHT AT SCHOOL AT BARRON PARK ELEMENTARY,"RIGHT AT SCHOOL, LLC","HERRERA, DENISE",(650) 269-9262,800 BARRON AVENUE,PALO ALTO,CA,94306,SANTA CLARA,52,120,CLOSED,11/17/2020,2021-04-01,5252025,2020-11-17,2020.0,4.5
FAMILY DAY CARE HOME,344500216,"HUANG, CUILING","HUANG, CUILING","HUANG, CUILING",(510) 417-6591,Unavailable,ELK GROVE,CA,95757,SACRAMENTO,53,14,CLOSED,9/23/2020,2021-02-04,5252025,2020-09-23,2020.0,4.5
DAY CARE CENTER,197494760,GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,NAJAE WILLIAMS,(310) 641-4400,148 S LINDEN DRIVE,BEVERLY HILLS,CA,90212,LOS ANGELES,58,12,CLOSED,1/31/2022,2022-06-15,5252025,2022-01-31,2022.0,4.5
SCHOOL AGE DAY CARE CENTER,435700738,RIGHT AT SCHOOL AT HERBERT HOOVER ELEMENTARY,"RIGHT AT SCHOOL, LLC","MIRZA, FATIMABIBI",(650) 269-6592,445 E. CHARLESTON ROAD,PALO ALTO,CA,94306,SANTA CLARA,52,120,CLOSED,11/17/2020,2021-04-01,5252025,2020-11-17,2020.0,4.5
FAMILY DAY CARE HOME,198400595,ALLEN FAMILY CHILD CARE,EBONI LENAY ALLEN,EBONI LANAY ALLEN,(323) 812-3683,Unavailable,LOS ANGELES,CA,90059,LOS ANGELES,54,14,CLOSED,12/9/2022,2023-04-24,5252025,2022-12-09,2022.0,4.5
SCHOOL AGE DAY CARE CENTER,197494929,GOOD SPORTS PLUS LTD (DBA) ARC - ST. TIMOTHY'S,GOOD SPORTS PLUS LTD,JAMELIA SILVER,(310) 671-4400,10497 WEST PICO BLVD,LOS ANGELES,CA,90064,LOS ANGELES,30,39,CLOSED,2/1/2022,2022-06-18,5252025,2022-02-01,2022.0,4.6
SCHOOL AGE DAY CARE CENTER,197494761,GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,NAJAE WILLIAMS,(310) 641-4400,148 S LINDEN DRIVE,BEVERLY HILLS,CA,90212,LOS ANGELES,58,18,CLOSED,1/31/2022,2022-06-18,5252025,2022-01-31,2022.0,4.6
FAMILY DAY CARE HOME,426216374,KOL FAMILY CHILD CARE,"KOL, BOTTA",BOTTA KOL,(805) 242-2628,Unavailable,SANTA BARBARA,CA,93103,SANTA BARBARA,17,14,CLOSED,10/10/2022,2023-02-27,5252025,2022-10-10,2022.0,4.7
FAMILY DAY CARE HOME,198400399,THOMAS FAMILY CHILD CARE,CLEO THOMAS,"THOMAS, CLEO",(323) 253-1802,Unavailable,LOS ANGELES,CA,90002,LOS ANGELES,54,14,CLOSED,5/10/2021,2021-09-27,5252025,2021-05-10,2021.0,4.7
FAMILY DAY CARE HOME,367700227,BUNN FAMILY CHILD CARE,MELANIE BUNN,MELANIE BUNN,(760) 418-5133,Unavailable,YUCCA VALLEY,CA,92284,SAN BERNARDINO,12,14,CLOSED,12/1/2021,2022-04-25,5252025,2021-12-01,2021.0,4.8
INFANT CENTER,13423083,EMERYVILLE CHILD DEVELOPMENT CENTER,CITY OF EMERYVILLE,"OWENS, QUERA",(510) 596-4367,1070 - 41ST STREET,EMERYVILLE,CA,94608,ALAMEDA,2,28,CLOSED,1/21/2020,2020-06-12,5252025,2020-01-21,2020.0,4.8
DAY CARE CENTER,13423084,EMERYVILLE CHILD DEVELOPMENT CENTER,CITY OF EMERYVILLE,"OWENS, QUERA",(510) 596-4367,1070 - 41ST STREET,EMERYVILLE,CA,94608,ALAMEDA,2,90,CLOSED,1/21/2020,2020-06-12,5252025,2020-01-21,2020.0,4.8
FAMILY DAY CARE HOME,426216838,ROULLO FCC AKA HAPPY HEARTS PRESCHOOL,"ROULLO, CYNTHIA",CYNTHIA ROULLO,(805) 260-3105,Unavailable,SANTA MARIA,CA,93455,SANTA BARBARA,17,14,CLOSED,2/1/2024,2024-06-27,5252025,2024-02-01,2024.0,4.9
DAY CARE CENTER,15700617,"LEARN & PLAY MONTESSORI DUBLIN, INC.","LEARN & PLAY MONTESSORI DUBLIN, INC.","VASQUEZ, EDITH",(925) 951-5123,3960 SUMMIT ROAD,DUBLIN,CA,94568,ALAMEDA,52,164,CLOSED,8/9/2023,2024-01-02,5252025,2023-08-09,2023.0,4.9
SINGLE LICENSED CHILD CARE CENTER,73409594,LEARN AND PLAY MONTESSORI HERCULES INC,"LEARN AND PLAY MONTESSORI HERCULES, INC.",LIZETTE SUAREZ,(510) 941-0102,1702 PHEASANT DR,HERCULES,CA,94547,CONTRA COSTA,2,105,CLOSED,8/8/2024,2025-01-02,5252025,2024-08-08,2024.0,4.9
FAMILY DAY CARE HOME,198021551,MOSER FAMILY CHILD CARE,ALEXIS MOSER,"MOSER, ALEXIS",(323) 632-8464,Unavailable,WHITTIER,CA,90601,LOS ANGELES,33,14,CLOSED,8/12/2024,2025-01-09,5252025,2024-08-12,2024.0,5.0
INFANT CENTER,414005054,CHALLENGE SCHOOL FC CAMPUS,CHALLENGE SCHOOL,"CHANG, SALLY",(650) 574-6878,1130 BALCLUTHA DRIVE,FOSTER CITY,CA,94404,SAN MATEO,5,5,CLOSED,11/17/2023,2024-04-18,5252025,2023-11-17,2023.0,5.1
DAY CARE CENTER,414005055,CHALLENGE SCHOOL (PS) FC CAMPUS,CHALLENGE SCHOOL,"ZHANG, CATHERINE",(650) 574-6878,1130 BALCLUTHA DRIVE,FOSTER CITY,CA,94404,SAN MATEO,5,24,CLOSED,11/17/2023,2024-04-18,5252025,2023-11-17,2023.0,5.1
FAMILY DAY CARE HOME,367700283,MCDOWELL FAMILY CHILD CARE,PATIENCE MCDOWELL,PATIENCE MCDOWELL,(760) 596-7315,Unavailable,YUCCA VALLEY,CA,92284,SAN BERNARDINO,12,14,CLOSED,7/11/2022,2022-12-16,5252025,2022-07-11,2022.0,5.3
DAY CARE CENTER,574500292,ADVENTURE TIME PRESCHOOL,ADVENTURE TIME PRESCHOOL LLC,PRITI PRIYA LAL,(916) 571-4628,1500 PARK BLVD,WEST SACRAMENTO,CA,95691,YOLO,53,20,CLOSED,11/5/2020,2021-04-14,5252025,2020-11-05,2020.0,5.3
SCHOOL AGE DAY CARE CENTER,376105051,"PLAYGROUND LEARNING CENTER, THE","WHITE, SHENEA",SHENEA WHITE,(619) 724-6350,237 AVOCADO AVENUE,EL CAJON,CA,92020,SAN DIEGO,51,11,CLOSED,11/22/2021,2022-04-29,5252025,2021-11-22,2021.0,5.3
SCHOOL AGE DAY CARE CENTER,435700737,RIGHT AT SCHOOL AT FAIRMEADOW ELEMENTARY,"RIGHT AT SCHOOL, LLC","VILLEDA, SAMANTHA",(650) 407-0531,500 E. MEADOW DRIVE,PALO ALTO,CA,94306,SANTA CLARA,52,120,CLOSED,10/20/2020,2021-04-01,5252025,2020-10-20,2020.0,5.4
SCHOOL AGE DAY CARE CENTER,435700732,RIGHT AT SCHOOL AT EL CARMELO ELEMENTARY,"RIGHT AT SCHOOL, LLC","FUENTES, RICHARD",(650) 407-0531,3024 BRYANT STREET,PALO ALTO,CA,94306,SANTA CLARA,52,120,CLOSED,10/20/2020,2021-04-01,5252025,2020-10-20,2020.0,5.4
DAY CARE CENTER,325407840,PDH CHILD CARE CENTER PS,PLUMAS HOSPITAL DISTRICT,JO DEE READ,(530) 283-7186,204 FAIRGROUNDS RD.,QUINCY,CA,95971,PLUMAS,13,30,CLOSED,2/18/2021,2021-07-30,5252025,2021-02-18,2021.0,5.4
DAY CARE CENTER,376105124,BALDWIN ACADEMY,"BALDWIN ACADEMY CHILD DEV CENTER, INC.",YULIA ZAETS,(858) 270-5995,1752 & 1762 HORNBLEND STREET,SAN DIEGO,CA,92109,SAN DIEGO,51,77,CLOSED,3/27/2023,2023-09-06,5252025,2023-03-27,2023.0,5.4
SCHOOL AGE DAY CARE CENTER,435700728,RIGHT AT SCHOOL AT JUANA BRIONES ELEMENTARY,"RIGHT AT SCHOOL, LLC","BROOKS, BRIGETTE",(650) 288-7293,4100 ORME STREET,PALO ALTO,CA,94306,SANTA CLARA,52,120,CLOSED,10/20/2020,2021-04-01,5252025,2020-10-20,2020.0,5.4
INFANT CENTER,325407841,PDH CHILD CARE CENTER INF,PLUMAS HOSPITAL DISTRICT,JO DEE READ,(530) 927-7642,204 FAIRGROUNDS RD.,QUINCY,CA,95971,PLUMAS,13,8,CLOSED,2/16/2021,2021-07-30,5252025,2021-02-16,2021.0,5.5
INFANT CENTER,376105126,BALDWIN ACADEMY - INFANT,"BALDWIN ACADEMY CHILD DEV CENTER, INC.",YULIA ZAETS,(858) 270-5995,1760 HORNBLEND STREET,SAN DIEGO,CA,92109,SAN DIEGO,51,18,CLOSED,3/27/2023,2023-09-07,5252025,2023-03-27,2023.0,5.5
FAMILY DAY CARE HOME,483010549,"JOHNSEN, JESSICA FCCH","JOHNSEN, JESSICA","JOHNSEN, JESSICA",(707) 362-7322,Unavailable,FAIRFIELD,CA,94533,SOLANO,1,14,CLOSED,11/14/2023,2024-04-30,5252025,2023-11-14,2023.0,5.6
FAMILY DAY CARE HOME,376628644,"BERMUDEZ, ERIKA FAMILY CHILD CARE","BERMUDEZ, ERIKA",ERIKA BERMUDEZ,(619) 587-4131,Unavailable,CHULA VISTA,CA,91913,SAN DIEGO,20,14,CLOSED,6/30/2020,2020-12-23,5252025,2020-06-30,2020.0,5.9
SCHOOL AGE DAY CARE CENTER,376105114,"EXPLORER'S CENTER, THE",NOVI'S CENTER LLC,KAILYNN PERALTA,(858) 444-7089,10850 MONTONGO STREET,SAN DIEGO,CA,92126,SAN DIEGO,51,48,CLOSED,12/13/2022,2023-06-08,5252025,2022-12-13,2022.0,5.9
INFANT CENTER,214005605,GUIDEPOST MONTESSORI AT MILL VALLEY,GUIDEPOST A LLC,"MILLER, ILSA",(949) 354-2259,40 RIDGE AVENUE,MILL VALLEY,CA,94941,MARIN,5,9,CLOSED,1/18/2022,2022-07-15,5252025,2022-01-18,2022.0,5.9
DAY CARE CENTER,214005604,GUIDEPOST MONTESSORI AT MILL VALLEY,GUIDEPOST A LLC,"MILLER, ILSA",(949) 354-2259,40 RIDGE AVENUE,MILL VALLEY,CA,94941,MARIN,5,25,CLOSED,1/18/2022,2022-07-15,5252025,2022-01-18,2022.0,5.9
